Date,Price
2022/3/10,99.823105
2022/3/11,97.374588
2022/3/14,95.348534
2022/3/15,98.027512
2022/3/16,101.973701
2022/3/17,102.745575
2022/3/18,102.967484
2022/3/21,103.160454
2022/3/22,103.276237
2022/3/23,101.64566
2022/3/24,104.12529
2022/3/25,102.977135
2022/3/28,102.591209
2022/3/29,105.408516
2022/3/30,102.977135
2022/3/31,100.593979
2022/4/1,99.175674
2022/4/4,101.105347
2022/4/5,98.895874
2022/4/6,97.622292
2022/4/7,96.985489
2022/4/8,95.798744
2022/4/11,94.139221
2022/4/12,94.013802
2022/4/13,97.93103
2022/4/14,94.901443
2022/4/18,95.297012
2022/4/19,95.953102
2022/4/20,95.528587
2022/4/21,94.226059
2022/4/22,92.315674
2022/4/25,92.85598
2022/4/26,89.507996
2022/4/27,87.086258
2022/4/28,91.871864
2022/4/29,89.662369
2022/5/2,90.463196
2022/5/3,90.337753
2022/5/4,92.614784
2022/5/5,88.909805
2022/5/6,88.408073
2022/5/9,84.230354
2022/5/10,85.696892
2022/5/11,84.741699
2022/5/12,84.606621
2022/5/13,87.761635
2022/5/16,87.230995
2022/5/17,90.038666
2022/5/18,87.346764
2022/5/19,87.038002
2022/5/20,87.587982
2022/5/23,88.282654
2022/5/24,85.60041
2022/5/25,87.230995
2022/5/26,87.80024
2022/5/27,90.472839
2022/5/31,91.949036
2022/6/1,91.418381
2022/6/2,92.952461
2022/6/3,90.472839
2022/6/6,89.836044
2022/6/7,90.540375
2022/6/8,90.183395
2022/6/9,87.655502
2022/6/10,85.561821
2022/6/13,82.541878
2022/6/14,84.124207
2022/6/15,85.995987
2022/6/16,81.977623
2022/6/17,82.443176
2022/6/21,84.334518
2022/6/22,82.355896
2022/6/23,81.589645
2022/6/24,83.335495
2022/6/27,83.277313
2022/6/28,81.803017
2022/6/29,81.133789
2022/6/30,79.290932
2022/7/1,74.683815
2022/7/5,73.820587
2022/7/6,73.287125
2022/7/7,78.22403
2022/7/8,79.058159
2022/7/11,76.730347
2022/7/12,76.72065
2022/7/13,78.844765
2022/7/14,81.153183
2022/7/15,83.054222
2022/7/18,81.065895
2022/7/19,83.558586
2022/7/20,83.956245
2022/7/21,85.149254
2022/7/22,83.723473
2022/7/25,83.704071
2022/7/26,81.880623
2022/7/27,84.994072
2022/7/28,85.944595
2022/7/29,85.818504
2022/8/1,83.71376
2022/8/2,83.461594
2022/8/3,83.907753
2022/8/4,85.7603
2022/8/5,87.069687
2022/8/8,85.294739
2022/8/9,82.646851
2022/8/10,86.002777
2022/8/11,86.827209
2022/8/12,88.126907
2022/8/15,88.815552
2022/8/16,87.244278
2022/8/17,86.516846
2022/8/18,86.584732
2022/8/19,84.577003
2022/8/22,82.675949
2022/8/23,83.442192
2022/8/24,82.98632
2022/8/25,84.93586
2022/8/26,82.190987
2022/8/29,80.357849
2022/8/30,80.29966
2022/8/31,80.842804
2022/9/1,79.18425
2022/9/2,78.466507
2022/9/6,77.622673
2022/9/7,77.545082
2022/9/8,77.826355
2022/9/9,79.077553
2022/9/12,79.678894
2022/9/13,76.439369
2022/9/14,77.263802
2022/9/15,76.062103
2022/9/16,75.974312
2022/9/19,76.305954
2022/9/20,76.227928
2022/9/21,75.24276
2022/9/22,73.76989
2022/9/23,72.053192
2022/9/26,71.21434
2022/9/27,71.233849
2022/9/28,70.35598
2022/9/29,67.576073
2022/9/30,66.873779
2022/10/3,67.546814
2022/10/4,71.019249
2022/10/5,72.648186
2022/10/6,72.521385
2022/10/7,68.034515
2022/10/10,65.781334
2022/10/11,61.889465
2022/10/12,62.533234
2022/10/13,64.981499
2022/10/14,62.347904
2022/10/17,63.294048
2022/10/18,62.143074
2022/10/19,62.094299
2022/10/20,62.01627
2022/10/21,62.182083
2022/10/24,59.782589
2022/10/25,59.63628
2022/10/26,59.343655
2022/10/27,59.450954
2022/10/28,60.484882
2022/10/31,60.036194
2022/11/1,60.06546
2022/11/2,59.031528
2022/11/3,58.797424
2022/11/4,60.943321
2022/11/7,61.216431
2022/11/8,63.420845
2022/11/9,63.401344
2022/11/10,69.097702
2022/11/11,72.014168
2022/11/14,71.009514
2022/11/15,78.48111
2022/11/16,77.495949
2022/11/17,79.476028
2022/11/18,80.24659
2022/11/21,77.964149
2022/11/22,80.509956
2022/11/23,79.953972
2022/11/25,79.397987
2022/11/28,77.271606
2022/11/29,77.378906
2022/11/30,80.939133
2022/12/1,80.646515
2022/12/2,79.495529
2022/12/5,79.612579
2022/12/6,77.603249
2022/12/7,77.291107
2022/12/8,78.812744
2022/12/9,78.70546
2022/12/12,78.451843
2022/12/13,78.529884
2022/12/14,78.051926
2022/12/15,76.13028
2022/12/16,74.845253
2022/12/19,74.649071
2022/12/20,74.178223
2022/12/21,75.669243
2022/12/22,73.844704
2022/12/23,73.462128
2022/12/27,72.903
2022/12/28,71.667038
2022/12/29,74.55098
2022/12/30,73.069771
2023/1/3,72.618546
2023/1/4,74.864876
2023/1/5,74.286125
2023/1/6,76.581512
2023/1/9,78.778793
2023/1/10,79.720497
2023/1/11,80.220779
2023/1/12,85.341248
2023/1/13,85.145065
2023/1/17,87.293312
2023/1/18,87.76416
2023/1/19,86.714561
2023/1/20,89.294418
2023/1/23,93.836136
2023/1/24,92.757111
2023/1/25,90.648109
2023/1/26,91.668266
2023/1/27,91.521133
2023/1/30,91.35437
2023/1/31,90.962006
2023/2/1,92.933678
2023/2/2,94.807259
2023/2/3,92.855209
2023/2/6,90.079163
2023/2/7,92.747299
2023/2/8,92.482452
2023/2/9,94.846504
2023/2/10,93.551674
2023/2/13,94.277565
2023/2/14,96.092285
2023/2/15,90.991432
2023/2/16,89.088409
2023/2/17,88.382149
2023/2/21,85.96904
2023/2/22,85.174492
2023/2/23,88.362534
2023/2/24,86.430084
2023/2/27,85.635529
2023/2/28,85.409912
2023/3/1,86.734169
2023/3/2,87.33255
2023/3/3,88.078056
2023/3/6,87.872063
2023/3/7,87.155983
2023/3/8,89.098228
2023/3/9,87.18541
2023/3/10,85.586487
2023/3/13,86.067131
2023/3/14,87.587593
2023/3/15,85.046959
2023/3/16,88.053406
2023/3/17,88.221031
2023/3/20,88.783073
2023/3/21,91.208733
2023/3/22,91.327065
2023/3/23,93.269554
2023/3/24,91.49469
2023/3/27,89.394424
2023/3/28,89.542328
2023/3/29,91.465103
2023/3/30,91.179153
2023/3/31,91.721466
2023/4/3,91.543983
2023/4/4,90.883339
2023/4/5,88.940842
2023/4/6,88.980278
2023/4/10,87.777313
2023/4/11,87.994232
2023/4/12,85.657326
2023/4/13,85.834824
2023/4/14,85.982719
2023/4/17,86.761688
2023/4/18,86.909599
2023/4/19,86.012306
2023/4/20,88.043549
2023/4/21,84.178268
2023/4/24,83.458466
2023/4/25,81.141266
2023/4/26,81.101814
2023/4/27,82.501999
2023/4/28,83.123215
2023/5/1,82.807671
2023/5/2,81.80191
2023/5/3,81.545532
2023/5/4,82.324509
2023/5/5,83.783852
2023/5/8,84.345886
2023/5/9,83.872589
2023/5/10,83.714836
2023/5/11,82.26535
2023/5/12,82.26535
2023/5/15,84.464218
2023/5/16,84.681137
2023/5/17,89.611351
2023/5/18,91.356644
2023/5/19,91.287613
2023/5/22,90.439621
2023/5/23,89.17749
2023/5/24,88.871819
2023/5/25,99.540779
2023/5/26,101.769226
2023/5/30,100.556396
2023/5/31,97.213715
2023/6/1,97.46022
2023/6/2,97.558838
2023/6/5,96.681259
2023/6/6,98.426544
2023/6/7,98.889992
2023/6/8,98.544876
2023/6/9,101.364944
2023/6/12,105.565475
2023/6/13,105.309113
2023/6/14,105.910606
2023/6/15,104.146118
2023/6/16,103.542114
2023/6/20,102.957916
2023/6/21,100.640915
2023/6/22,102.116264
2023/6/23,100.908264
2023/6/26,99.125954
2023/6/27,101.076591
2023/6/28,99.927986
2023/6/29,99.650742
2023/6/30,99.927986
2023/7/3,102.13607
2023/7/5,99.997292
2023/7/6,98.432838
2023/7/7,99.244774
2023/7/10,98.789291
2023/7/11,100.264648
2023/7/12,102.8787
2023/7/13,104.53228
2023/7/14,104.106506
2023/7/17,103.759949
2023/7/18,102.13607
2023/7/19,102.046951
2023/7/20,96.898071
2023/7/21,96.294067
2023/7/24,97.284233
2023/7/25,99.333885
2023/7/26,98.432838
2023/7/27,98.373421
2023/7/28,99.868576
2023/7/31,98.175392
2023/8/1,97.432762
2023/8/2,94.7593
2023/8/3,94.046379
2023/8/4,95.214783
2023/8/7,95.402908
2023/8/8,93.561188
2023/8/9,93.056213
2023/8/10,93.868149
2023/8/11,91.085762
2023/8/14,92.155151
2023/8/15,90.778816
2023/8/16,90.877831
2023/8/17,90.739204
2023/8/18,90.204514
2023/8/21,91.650169
2023/8/22,91.333305
2023/8/23,93.293846
2023/8/24,91.620461
2023/8/25,92.184853
2023/8/28,93.076012
2023/8/29,94.145393
2023/8/30,93.848343
2023/8/31,92.650238
2023/9/1,92.273972
2023/9/5,93.670113
2023/9/6,91.353119
2023/9/7,89.164841
2023/9/8,88.758865
2023/9/11,88.719261
2023/9/12,89.590614
2023/9/13,90.323334
2023/9/14,91.040955
2023/9/15,88.831367
2023/9/18,88.413338
2023/9/19,87.756432
2023/9/20,86.880562
2023/9/21,84.95961
2023/9/22,85.238297
2023/9/25,85.83548
2023/9/26,83.89463
2023/9/27,85.039238
2023/9/28,86.004692
2023/9/29,86.492386
2023/10/2,87.238869
2023/10/3,85.009384
2023/10/4,86.263466
2023/10/5,86.62178
2023/10/6,88.871178
2023/10/9,88.572586
2023/10/10,90.18499
2023/10/11,91.568466
2023/10/12,91.986496
2023/10/13,90.03569
2023/10/16,90.79213
2023/10/17,90.573158
2023/10/18,89.179726
2023/10/19,92.474197
2023/10/20,90.881699
2023/10/23,90.68264
2023/10/24,91.210152
2023/10/25,87.22892
2023/10/26,87.039803
2023/10/27,85.586655
2023/10/30,85.656326
2023/10/31,85.905151
2023/11/1,87.388168
2023/11/2,90.055595
2023/11/3,91.359451
2023/11/6,92.165649
2023/11/7,91.976547
2023/11/8,91.568466
2023/11/9,91.190254
2023/11/10,96.982948
2023/11/13,95.967735
2023/11/14,98.44606
2023/11/15,98.336571
2023/11/16,98.077789
2023/11/17,99.112915
2023/11/20,99.491127
2023/11/21,97.948402
2023/11/22,98.187279
2023/11/24,97.371124
2023/11/27,96.754028
2023/11/28,97.520416
2023/11/29,98.416191
2023/11/30,96.853554
2023/12/1,98.087746
2023/12/4,96.55497
2023/12/5,96.236473
2023/12/6,97.391022
2023/12/7,98.824272
2023/12/8,99.879295
2023/12/11,100.476479
2023/12/12,101.123436
2023/12/13,101.640999
2023/12/14,103.449997
2023/12/15,102.540001
2023/12/18,102.93
2023/12/19,103.870003
2023/12/20,100.040001
